date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo
1979-07-19,Malawi,Tanzania,0.0,1.0,Friendly,Blantyre,Malawi,False,1541.2707889197236,1425.6053437493642
1979-07-20,Kyrgyzstan,Lithuania,0.0,0.0,Friendly,Moscow,Soviet Union,True,1489.4836674067562,1338.4604240198244
1979-07-21,Belarus,Armenia,3.0,0.0,Friendly,Minsk,Soviet Union,False,1489.614831230081,1500.0
1979-07-22,Georgia,Lithuania,5.0,0.0,Friendly,Moscow,Soviet Union,True,1500.0,1342.5526728529503
1979-07-22,Grenada,Trinidad and Tobago,0.0,1.0,CFU Caribbean Cup qualification,St. George's,Grenada,False,1587.2154668434027,1529.131198322022
1979-07-23,Belarus,Latvia,2.0,1.0,Friendly,Minsk,Soviet Union,False,1503.3453895531343,1358.3837307433253
1979-07-24,Azerbaijan,Lithuania,0.0,1.0,Friendly,Moscow,Soviet Union,True,1500.0,1331.0426953586978
1979-07-25,Benin,DR Congo,0.0,1.0,Friendly,Porto-Novo,Benin,False,1429.3656684971331,1630.0409385302692
1979-07-25,Colombia,Peru,1.0,2.0,Friendly,Bogotá,Colombia,False,1513.967936234448,1711.0296718572517
1979-07-25,Belarus,Russia,2.0,3.0,Friendly,Minsk,Soviet Union,False,1508.046957980594,1806.5776752937113
1979-07-26,Bolivia,Brazil,2.0,1.0,Copa América,La Paz,Bolivia,False,1515.1535345812706,2042.7110264752366
1979-07-26,Liberia,Ghana,3.0,1.0,Friendly,Monrovia,Liberia,False,1406.1801809828157,1694.336466080516
1979-07-28,Benin,DR Congo,0.0,3.0,Friendly,Cotonou,Benin,False,1423.2069718609898,1636.1996351664125
1979-07-28,Lithuania,Ukraine,0.0,2.0,Friendly,Moscow,Soviet Union,True,1345.5554297240117,1518.7407269173784
1979-07-28,Russia,Belarus,0.0,0.0,Friendly,Moscow,Soviet Union,False,1810.620086405095,1504.0045468692103
1979-07-29,Madagascar,Tanzania,2.0,4.0,Friendly,Antananarivo,Madagascar,False,1487.0624869931185,1440.270487591538
1979-07-30,Belarus,Ukraine,0.0,0.0,Friendly,Moscow,Soviet Union,True,1511.8427616642703,1526.8270625419266
1979-07-30,Russia,Lithuania,2.0,0.0,Friendly,Moscow,Soviet Union,False,1802.781871610035,1337.4690940994635
1979-08-01,Paraguay,Bolivia,2.0,0.0,Copa Paz del Chaco,Asunción,Paraguay,False,1610.463318076401,1552.6144090007704
1979-08-01,Venezuela,Colombia,0.0,0.0,Copa América,San Cristóbal,Venezuela,False,1237.5887732409412,1507.7202280132985
1979-08-01,Belarus,Lithuania,0.0,2.0,Friendly,Moscow,Soviet Union,True,1512.2737773085435,1336.0784190381737
1979-08-01,Madagascar,Tanzania,1.0,0.0,Friendly,Antananarivo,Madagascar,False,1467.591819519111,1459.7411550655456
1979-08-02,Brazil,Argentina,2.0,1.0,Copa América,Rio de Janeiro,Brazil,False,2005.2501520557369,1934.2125253108347
1979-08-04,Belarus,Kazakhstan,0.0,1.0,Friendly,Moscow,Soviet Union,True,1490.2581752079939,1500.0
1979-08-04,Trinidad and Tobago,Grenada,2.0,1.0,CFU Caribbean Cup qualification,San Fernando,Trinidad and Tobago,False,1555.6784936152844,1560.6681715501404
1979-08-05,Russia,Lithuania,2.0,1.0,Friendly,Moscow,Soviet Union,False,1804.1725466713249,1358.0940211387233
1979-08-05,DR Congo,Guinea,3.0,2.0,African Cup of Nations qualification,Kinshasa,Zaïre,False,1645.5767057069809,1629.1040481951343
1979-08-08,Ecuador,Peru,2.0,1.0,Friendly,Quito,Ecuador,False,1366.0280369510617,1717.2773800784012
1979-08-08,Venezuela,Chile,1.0,1.0,Copa América,San Cristóbal,Venezuela,False,1248.3979981970851,1543.4079325763869
1979-08-08,Argentina,Bolivia,3.0,0.0,Copa América,Buenos Aires,Argentina,False,1921.417237306211,1532.4172032732308
1979-08-11,Tanzania,Zambia,1.0,0.0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False,1451.6696004990492,1748.5840442001193
